亜（亞）	ア	亜流，亜麻，亜熱帯	　
泣	キュウ　なく	号泣，感泣泣く，泣き沈む	　
急	キュウ　いそぐ	急速，急務，緊急急ぐ，急ぎ	　
級	キュウ	等級，上級，階級	　
糾	キュウ	糾弾，紛糾	　
宮	キュウ　グウ　　ク　みや	宮殿，宮廷，離宮宮司，神宮，東宮宮，宮様	「宮内庁」などと使う。 
救	キュウ　すくう	救助，救援，救急救う，救い	　
球	キュウ　たま	球形，球技，地球球	⇔玉，弾
給	キュウ	給水，配給，月給	　
嗅	キュウ　かぐ	嗅覚嗅ぐ	＊［（付）第２の３参照］
窮	キュウ　きわめる　きわまる	窮極，窮屈，困窮窮める窮まる	⇔究める，極める⇔極まる
牛	ギュウ　うし	牛馬，牛乳，闘牛牛	　
去	キョ　コ　さる	去年，去就，除去過去去る，去る○日	　
巨	キョ	巨大，巨匠，巨万	　
居	キョ　いる	居住，居室，住居居る，芝居	居士（こじ）
拒	キョ　こばむ	拒絶，拒否拒む	　
拠（據）	キョ　コ	拠点，占拠，根拠証拠	　
挙（擧）	キョ　あげる　あがる	挙手，挙国，壮挙挙げる，挙げて〔副〕挙がる	⇔上げる，揚げる⇔上がる，揚がる
虚（虛）	キョ　　コ	虚無，虚偽，空虚虚空，虚無僧	　
許	キョ　ゆるす	許可，許諾，特許許す，許し	　
距	キョ	距離	　
魚	ギョ　うお　さかな	魚類，金魚，鮮魚魚，魚市場魚，魚屋，煮魚	雑魚（ざこ）
御	ギョ　ゴ　おん	御者，制御御飯，御用，御殿御中，御礼	　
漁	ギョ　リョウ	漁業，漁船，漁村漁師，大漁，不漁	「猟」の字音の転用。
凶	キョウ	凶悪，凶作，吉凶	　
共	キョウ　とも	共同，共通，公共共に，共々，共食い	　
叫	キョウ　さけぶ	叫喚，絶叫叫ぶ，叫び	　
狂	キョウ　くるう　くるおしい	狂気，狂言，熱狂狂う狂おしい	　
京	キョウ　ケイ	京風，上京，帰京  	「京浜」，「京阪」などと使う。
享	キョウ	享有，享受，享楽	　
供	キョウ　　ク　そなえる　とも	供給，提供，自供供物，供養供える，お供え供，子供	⇔備える
協	キョウ	協力，協会，妥協	　
況	キョウ	状況，実況，概況	　
峡（峽）	キョウ	峡谷，地峡，海峡	　
挟（挾）	キョウ　はさむ　はさまる	挟撃挟む挟まる	　
狭（狹）	キョウ　せまい　せばめる　せばまる	狭量，広狭，偏狭狭い，狭苦しい狭める狭まる	　
恐	キョウ　おそれる　おそろしい	恐怖，恐縮，恐慌恐れる，恐れ，恐らく恐ろしい	⇔畏れる
恭	キョウ　うやうやしい	恭賀，恭順恭しい	　
胸	キョウ　むね　　むな	胸囲，胸中，度胸胸胸板，胸毛，胸騒ぎ	　
脅	キョウ　おびやかす　おどす　おどかす	脅迫，脅威脅かす脅す，脅し，脅し文句脅かす	　
強	キョウ　ゴウ　つよい　つよまる　つよめる　しいる	強弱，強要，勉強強引，強情，強盗強い，強がる強まる強める強いる，無理強い	　
教	キョウ　おしえる　おそわる	教育，教訓，宗教教える，教え教わる	　
郷（鄕）	キョウ　ゴウ	郷里，郷土，異郷郷士，近郷，在郷	　
境	キョウ　　ケイ　さかい	境界，境地，逆境境内境，境目	　
橋	キョウ　はし	橋脚，鉄橋，歩道橋橋，丸木橋	　
矯	キョウ　ためる	矯正，奇矯矯める，矯め直す	　
鏡	キョウ　かがみ	鏡台，望遠鏡，反射鏡鏡	眼鏡（めがね）
競	キョウ　ケイ　きそう　せる	競争，競技，競泳競馬，競輪競う競る，競り合う	　
響（響）	キョウ　ひびく	音響，影響，交響楽響く，響き	　
驚	キョウ　おどろく　おどろかす	驚異，驚嘆驚く，驚き驚かす	　
仰	ギョウ　　コウ　あおぐ　おおせ	仰視，仰天，仰角信仰仰ぐ仰せ	　
