亜（亞）	ア	亜流，亜麻，亜熱帯	　
喪	ソウ　も	喪失喪，喪服，喪主	　
痩（瘦）	ソウ　やせる	痩身痩せる	　
葬	ソウ　ほうむる	葬儀，埋葬，会葬葬る	　
装（裝）	ソウ　ショウ　よそおう	装置，服装，変装装束，衣装装う，装い	　
僧（僧）	ソウ	僧院，高僧，尼僧	　
想	ソウ　　ソ	想像，感想，予想愛想	　
層（層）	ソウ	層雲，高層，断層	　
総（總）	ソウ	総合，総意，総括	　
遭	ソウ　あう	遭遇，遭難遭う	⇔合う，会う
槽	ソウ	水槽，浴槽	　
踪	ソウ	失踪	　
操	ソウ　みさお　あやつる	操縦，操作，節操操操る，操り人形	　
燥	ソウ	乾燥，焦燥，高燥	　
霜	ソウ　しも	霜害，晩霜霜，霜柱，初霜	　
騒（騷）	ソウ　さわぐ	騒動，騒音，物騒騒ぐ，騒ぎ，騒がしい	　
藻	ソウ　も	藻類，海藻，詞藻藻	　
造	ゾウ　つくる	造船，造花，構造造る	⇔作る，創る
像	ゾウ	肖像，現像，想像	　
増（增）	ゾウ　ます　ふえる　ふやす	増減，増加，激増増す，水増し増える増やす	⇔殖える⇔殖やす
憎（憎）	ゾウ　にくむ　にくい　にくらしい　にくしみ	憎悪，愛憎憎む憎い，憎さ憎らしい憎しみ	　
蔵（藏）	ゾウ　くら	蔵書，貯蔵，土蔵蔵，酒蔵	⇔倉
贈（贈）	ゾウ　　ソウ　おくる	贈与，贈呈，贈答寄贈贈る，贈り物	「寄贈」は，「キゾウ」とも。⇔送る
臓（臟）	ゾウ	臓器，内臓，心臓	　
即（卽）	ソク	即応，即席，即興	　
束	ソク　たば	束縛，結束，約束束，花束，束ねる	　
足	ソク　あし　たりる　たる　たす	足跡，遠足，補足足，足音，素足足りる舌足らず足す	足袋（たび）⇔脚
促	ソク　うながす	促進，促成，催促促す	　
則	ソク	法則，鉄則，変則	　
息	ソク　いき	休息，消息，子息息，息巻く，吐息	息吹（いぶき）息子（むすこ）
捉	ソク　とらえる	捕捉捉える	⇔捕らえる
速	ソク　はやい　はやめる　はやまる　すみやか	速度，敏速，時速速い，速さ速める速まる速やかだ	⇔早い⇔早める⇔早まる
側	ソク　がわ	側面，側近，側壁側，裏側，片側	「かわ」とも。
測	ソク　はかる	測量，目測，推測測る	⇔計る，量る，図る
俗	ゾク	俗事，風俗，民俗	　
族	ゾク	一族，家族，民族	　
属（屬）	ゾク	属性，従属，金属	　
賊	ゾク	賊軍，盗賊	　
続（續）	ゾク　つづく　つづける	続出，続行，連続続く，続き続ける	　
卒	ソツ	卒業，卒中，兵卒	　
率	ソツ　リツ　ひきいる	率先，引率，軽率比率，能率，百分率率いる	　
存	ソン　ゾン	存在，存続，既存存分，保存，存じます	　
村	ソン　むら	村長，村落，農村村，村里，村芝居	　
孫	ソン　まご	子孫，嫡孫孫	　
尊	ソン　たっとい　とうとい　たっとぶ　とうとぶ	尊敬，尊大，本尊尊い尊い尊ぶ尊ぶ	⇔貴い⇔貴い⇔貴ぶ⇔貴ぶ
損	ソン　そこなう　そこねる	損失，欠損，破損損なう，見損なう損ねる	　
遜［遜］	ソン	謙遜，不遜	［遜］＝許容字体，＊［（付）第２の１参照］
他	タ　ほか	他国，自他，排他的他，○○の他	⇔外
多	タ　おおい	多少，多数，雑多多い	　
汰	タ	沙汰	　
打	ダ　うつ	打撃，打破，乱打打つ	⇔撃つ，討つ
妥	ダ	妥当，妥結，妥協	　
唾	ダ　つば	唾液，唾棄唾，眉唾	固唾（かたず）「唾」は，「つばき」とも。
堕（墮）	ダ	堕落	　
惰	ダ	惰眠，惰気，怠惰	　
駄	ダ	駄菓子，駄作，無駄	　
太	タイ　タ　ふとい　ふとる	太陽，太鼓，皇太子丸太太い太る	太刀（たち）
対（對）	タイ　ツイ	対立，絶対，反対対句，一対	　
体（體）	タイ　テイ　からだ	体格，人体，主体体裁，風体体，体つき	　
耐	タイ　たえる	耐久，耐火，忍耐耐える	⇔堪える
待	タイ　まつ	待機，待遇，期待待つ，待ち遠しい	　
怠	タイ　おこたる　なまける	怠惰，怠慢怠る怠ける，怠け者	　
胎	タイ	胎児，受胎，母胎	　
退	タイ　しりぞく　しりぞける	退却，退屈，進退退く退ける	立ち退く（たちのく）
帯（帶）	タイ　おびる　おび	携帯，地帯，連帯帯びる帯，角帯	　
泰	タイ	泰然，泰斗，安泰	　
堆	タイ	堆積	　
袋	タイ　ふくろ	風袋，郵袋袋，紙袋	足袋（たび）
逮	タイ	逮捕，逮夜	　
替	タイ　かえる　かわる	代替替える，両替替わる	為替（かわせ）⇔換える，代える，変える⇔換わる，代わる，変わる
貸	タイ　かす	貸借，貸与，賃貸貸す，貸し	　
隊	タイ	隊列，軍隊，部隊	　
滞（滯）	タイ　とどこおる	滞在，滞貨，沈滞滞る	　
態	タイ	態勢，形態，容態	　
戴	タイ	戴冠，頂戴	　
大	ダイ　タイ　おお　おおきい　おおいに	大小，大胆，拡大大衆，大した，大して大型，大通り，大水大きい，大きさ，大きな大いに	大人（おとな）大和（やまと）
代	ダイ　タイ　かわる　かえる　よ　しろ	代理，世代，現代代謝，交代代わる，代わり代える代，神代代物，苗代	⇔換わる，替わる，変わる⇔換える，替える，変える
台（臺）	ダイ　タイ	台地，灯台，一台台風，舞台	　
第	ダイ	第一，第三者，及第	　
題	ダイ	題名，問題，出題	　
滝（瀧）	たき	滝，滝つぼ	　
宅	タク	宅地，自宅，帰宅	　
択（擇）	タク	選択，採択，二者択一	　
沢（澤）	タク　さわ	光沢，潤沢沢	　
卓	タク	卓越，卓球，食卓	　
拓	タク	拓本，開拓	　
託	タク	託宣，委託，結託	　
濯	タク	洗濯	　
諾	ダク	諾否，承諾，快諾	　
濁	ダク　にごる　にごす	濁流，濁音，清濁濁る，濁り濁す	　
但	ただし	但し，但し書き	　
達	タツ	達人，調達，伝達	友達（ともだち）
脱	ダツ　ぬぐ　ぬげる	脱衣，脱出，虚脱脱ぐ脱げる	　
奪	ダツ　うばう	奪回，奪取，争奪奪う，奪い取る	　
棚	たな	棚，戸棚，大陸棚	　
誰	だれ	誰	　
丹	タン	丹念，丹精	　
旦	タン　ダン	一旦，元旦旦那	　
担（擔）	タン　かつぐ　になう	担当，担架，負担担ぐ担う	　
単（單）	タン	単独，単位，簡単	　
炭	タン　すみ	炭鉱，木炭，石炭炭，炭火，消し炭	　
胆（膽）	タン	大胆，落胆，魂胆	　
探	タン　さぐる　さがす	探求，探訪，探知探る，探り探す	⇔捜す
淡	タン　あわい	淡水，濃淡，冷淡淡い，淡雪	　
短	タン　みじかい	短歌，短所，長短短い	　
嘆（嘆）	タン　なげく　なげかわしい	嘆息，嘆願，驚嘆嘆く，嘆き嘆かわしい	　
端	タン　はし　は　はた	端正，末端，極端端，片端端数，半端，軒端端，川端，道端	　
綻	タン　ほころびる	破綻綻びる	　
誕	タン	誕生，生誕	　
鍛	タン　きたえる	鍛錬鍛える，鍛え方	鍛冶（かじ）
団（團）	ダン　　トン	団結，団地，集団布団	　
男	ダン　ナン　おとこ	男子，男女，男性長男，美男，善男善女男，男らしい	　
段	ダン	段落，階段，手段	　
断（斷）	ダン　たつ　ことわる	断絶，断定，判断断つ，塩断ち断る，断り	⇔裁つ，絶つ
弾（彈）	ダン　ひく　はずむ　たま	弾力，弾圧，爆弾弾く，弾き手弾む，弾み弾	⇔引く⇔玉，球
暖	ダン　あたたか　あたたかい　あたたまる　あたためる	暖流，暖房，温暖暖かだ暖かい暖まる暖める	⇔温か⇔温かい⇔温まる⇔温める
談	ダン	談話，談判，相談	　
壇	ダン　　タン	壇上，花壇，文壇土壇場	　
地	チ　ジ	地下，天地，境地地面，地震，地元	心地（ここち）意気地（いくじ）
池	チ　いけ	貯水池，電池池，古池	　
知	チ　しる	知識，知人，通知知る，物知り	　
値	チ　ね　あたい	価値，数値，絶対値値，値段値，値する	⇔価
恥	チ　はじる　はじ　はじらう　はずかしい	恥辱，無恥，破廉恥恥じる，恥じ入る恥，生き恥恥じらう，恥じらい恥ずかしい	　
致	チ　いたす	誘致，合致，風致致す	　
遅（遲）	チ　おくれる　おくらす　おそい	遅延，遅刻，遅速遅れる，遅れ遅らす遅い，遅咲き	⇔後れる
痴（癡）	チ	痴情，愚痴	　
稚	チ	稚魚，稚拙，幼稚	稚児（ちご）
置	チ　おく	位置，放置，処置置く	　
緻	チ	緻密，精緻	　
竹	チク　たけ	竹林，竹馬の友，爆竹竹，竹やぶ，さお竹	竹刀（しない）
畜	チク	畜産，牧畜，家畜	　
逐	チク	逐次，逐一，駆逐	　
蓄	チク　たくわえる	蓄積，蓄電池，貯蓄蓄える，蓄え	　
築	チク　きずく	築港，建築，改築築く，築き上げる	築山（つきやま）
秩	チツ	秩序	　
窒	チツ	窒息，窒素	　
茶	チャ　サ	茶色，茶番劇，番茶茶菓，茶話会，喫茶	　
着	チャク　　ジャク　きる　きせる　つく　つける	着用，着手，土着愛着，執着着る，着物，晴れ着着せる，お仕着せ着く，船着き場着ける	「愛着」，「執着」は，「アイチャク」，「シュウチャク」とも。⇔付く，就く⇔付ける，就ける
嫡	チャク	嫡子，嫡流	　
中	チュウ　　ジュウ　なか	中央，中毒，胸中○○中中，中庭，真ん中	⇔仲
仲	チュウ　なか	仲介，仲裁，伯仲仲，仲間	仲人（なこうど）⇔中
虫（蟲）	チュウ　むし	虫類，幼虫，害虫虫，毛虫	　
沖	チュウ　おき	沖積層，沖天，沖する沖	　
宙	チュウ	宙返り，宇宙	　
忠	チュウ	忠実，忠勤，誠忠	　
抽	チュウ	抽出，抽象	　
注	チュウ　そそぐ	注入，注意，発注注ぐ	　
昼（晝）	チュウ　ひる	昼夜，昼食，白昼昼，昼寝，真昼	　
柱	チュウ　はしら	支柱，円柱，電柱柱，帆柱，大黒柱	　
衷	チュウ	衷心，折衷，苦衷	　
酎	チュウ	焼酎	　
鋳（鑄）	チュウ　いる	鋳造，鋳鉄，改鋳鋳る，鋳物，鋳型	　
駐	チュウ	駐車，駐在，進駐	　
著（著）	チョ　あらわす　いちじるしい	著名，著作，顕著著す著しい，著しさ	⇔表す，現す
貯	チョ	貯蓄，貯金，貯水池	　
丁	チョウ　テイ	丁数，落丁，二丁目丁字路，甲乙丙丁	　
弔	チョウ　とむらう	弔問，弔辞，慶弔弔う，弔い	　
庁（廳）	チョウ	庁舎，官庁，県庁	　
兆	チョウ　きざす　きざし	兆候，前兆，億兆兆す兆し	　
町	チョウ　まち	町会，市町村町，町外れ	⇔街
長	チョウ　ながい	長女，長所，成長長い，長さ	⇔永い
挑	チョウ　いどむ	挑戦，挑発挑む	　
帳	チョウ	帳面，帳簿，通帳	蚊帳（かや）
張	チョウ　はる	張力，拡張，主張張る，欲張る，引っ張る	⇔貼る
彫	チョウ　ほる	彫刻，彫塑，木彫彫る，木彫り	　
眺	チョウ　ながめる	眺望眺める，眺め	　
釣	チョウ　つる	釣果，釣魚，釣艇釣る，釣り，釣り合い	　
頂	チョウ　いただく　いただき	頂上，頂点，絶頂頂く，頂き物頂	「山頂」の意。
鳥	チョウ　とり	鳥類，野鳥，一石二鳥鳥，鳥居，小鳥	鳥取（とっとり）県
朝	チョウ　あさ	朝食，早朝，今朝朝，朝日，毎朝	今朝（けさ）
貼	チョウ　はる	貼付貼る	「貼付」は，「テンプ」とも。⇔張る
超	チョウ　こえる　こす	超越，超過，入超超える超す	⇔越える⇔越す
腸	チョウ	腸炎，大腸，胃腸	　
跳	チョウ　はねる　とぶ	跳躍跳ねる跳ぶ，縄跳び	⇔飛ぶ
徴（徵）	チョウ	徴収，特徴，象徴	　
嘲	チョウ　あざける	嘲笑，自嘲嘲る	＊［（付）第２の３参照］
潮	チョウ　しお	潮流，満潮，風潮潮，潮風	　
澄	チョウ　すむ　すます	清澄澄む，上澄み澄ます，澄まし顔	　
調	チョウ　しらべる　ととのう　ととのえる	調和，調査，好調調べる，調べ調う調える	⇔整う⇔整える
聴（聽）	チョウ　きく	聴覚，聴衆，傍聴聴く	⇔聞く
懲（懲）	チョウ　こりる　こらす　こらしめる	懲罰，懲戒，懲役懲りる，性懲りもなく懲らす懲らしめる	　
直	チョク　ジキ　ただちに　なおす　なおる	直立，直接，実直直訴，直筆，正直直ちに直す，手直し直る，仲直り	⇔治す⇔治る
勅（敕）	チョク	勅語，勅使，詔勅	　
捗	チョク	進捗	＊［（付）第２の３参照］
沈	チン　しずむ　しずめる	沈滞，沈黙，浮沈沈む，浮き沈み沈める	⇔静める，鎮める
珍	チン　めずらしい	珍客，珍重，珍妙珍しい，珍しさ，珍しがる	　
朕	チン		　
陳	チン	陳列，陳謝，開陳	　
賃	チン	賃金，賃上げ，運賃	　
鎮（鎭）	チン　しずめる　しずまる	鎮座，鎮静，重鎮鎮める鎮まる	⇔静める，沈める⇔静まる
追	ツイ　おう	追跡，追放，訴追追う	　
椎	ツイ	椎間板，脊椎	　
墜	ツイ	墜落，墜死，撃墜	　
通	ツウ　　ツ　とおる　とおす　かよう	通行，通読，普通通夜通る，通り通す，通し通う，通い	　
痛	ツウ　いたい　いたむ　いためる	痛快，苦痛，心痛痛い，痛さ痛む，痛み，痛ましい痛める	⇔傷む，悼む⇔傷める
塚（塚）	つか	塚，貝塚	　
漬	つける　つかる	漬ける，漬物漬かる	　
坪	つぼ	坪数，建坪	　
爪	つめ　　つま	爪，生爪爪先，爪弾く	　
鶴	つる	鶴，千羽鶴	　
低	テイ　ひくい　ひくめる　ひくまる	低級，低気圧，高低低い，低さ低める低まる	　
呈	テイ	呈上，進呈，贈呈	　
廷	テイ	宮廷，法廷，出廷	　
弟	テイ　　ダイ　　デ　おとうと	弟妹，義弟，子弟兄弟弟子弟	　
定	テイ　ジョウ　さだめる　さだまる　さだか	定価，安定，決定定石，定紋，必定定める，定め定まる定かだ	　
底	テイ　そこ	底流，海底，到底底，奥底	　
抵	テイ	抵抗，抵触，大抵	　
邸	テイ	邸宅，邸内，私邸	　
亭	テイ	亭主，料亭	　
貞	テイ	貞淑，貞操，貞節	　
帝	テイ	帝王，帝国，皇帝	　
訂	テイ	訂正，改訂	　
庭	テイ　にわ	庭園，校庭，家庭庭，庭先	　
逓（遞）	テイ	逓信，逓送，逓減	　
停	テイ	停止，停車，調停	　
偵	テイ	偵察，探偵，内偵	　
堤	テイ　つつみ	堤防，防波堤堤	　
提	テイ　さげる	提供，提案，前提提げる，手提げ	⇔下げる
程	テイ　ほど	程度，日程，過程程，程遠い，身の程	　
艇	テイ	艦艇，舟艇，競艇	　
締	テイ　しまる　しめる	締結締まる，締まり締める，締め切る，引き締め	⇔閉まる，絞まる⇔閉める，絞める
諦	テイ　あきらめる	諦観，諦念諦める	　
泥	デイ　どろ	泥土，雲泥，拘泥泥，泥沼，泥棒	　
的	テキ　まと	的中，目的，科学的的，的外れ	　
笛	テキ　ふえ	汽笛，警笛，牧笛笛，口笛	　
摘	テキ　つむ	摘要，摘発，指摘摘む，摘み草	　
滴	テキ　しずく　したたる	水滴，点滴，一滴滴滴る，滴り	　
適	テキ	適切，適度，快適	　
敵	テキ　かたき	敵，敵意，匹敵敵，敵役，商売敵	　
溺	デキ　おぼれる	溺愛，溺死溺れる	＊［（付）第２の３参照］
迭	テツ	更迭	　
哲	テツ	哲学，哲人，先哲	　
鉄（鐵）	テツ	鉄道，鉄筋，鋼鉄	　
徹	テツ	徹底，徹夜，貫徹	　
撤	テツ	撤去，撤回，撤兵	　
天	テン　あめ　　あま	天地，天然，雨天天天の川，天下り	　
典	テン	典拠，古典，式典	　
店	テン　みせ	店舗，開店，本店店，夜店	　
点（點）	テン	点線，点火，採点	　
展	テン	展示，展開，発展	　
添	テン　そえる　そう	添加，添付，添削添える，添え手紙添う，付き添う	⇔沿う
転（轉）	テン　ころがる　ころげる　ころがす　ころぶ	転出，回転，運転転がる転げる転がす転ぶ	　
塡	テン	装塡，補塡	＊［（付）第２の３参照］
田	デン　た	田地，水田，油田田，田植え	田舎（いなか）
伝（傳）	デン　つたわる　つたえる　つたう	伝言，伝統，宣伝伝わる伝える，言い伝え伝う	伝馬船（てんません）手伝（てつだ）う
殿	デン　テン　との　どの	殿堂，宮殿，貴殿御殿殿様，殿方○○殿	　
電	デン	電気，電報，発電	　
斗	ト	斗酒，北斗七星	　
吐	ト　はく	吐露，吐血，音吐朗々吐く，吐き気	　
妬	ト　ねたむ	嫉妬妬む	　
徒	ト	徒歩，徒労，信徒	　
途	ト	途上，帰途，前途	　
都（都）	ト　ツ　みやこ	都会，都心，首都都合，都度都，都落ち	　
渡	ト　わたる　わたす	渡航，渡河，譲渡渡る，渡り渡す，渡し	　
塗	ト　ぬる	塗布，塗装，塗料塗る，塗り	　
賭	ト　かける	賭場，賭博賭ける，賭け	＊［（付）第２の３参照］⇔掛ける，懸ける，架ける
土	ド　ト　つち	土木，国土，粘土土地土，赤土	土産（みやげ）
奴	ド	奴隷，守銭奴	　
努	ド　つとめる	努力努める，努めて〔副〕	⇔勤める，務める
度	ド　　ト　　タク　たび	度胸，制度，限度法度支度度，度重なる，この度	　
怒	ド　いかる　おこる	怒号，怒気，激怒怒る，怒り，怒り狂う怒る	　
刀	トウ　かたな	刀剣，短刀，名刀刀	太刀（たち）竹刀（しない）
冬	トウ　ふゆ	冬季，冬至，越冬冬，冬枯れ	　
灯（燈）	トウ　ひ	灯火，電灯，点灯灯	⇔火
当（當）	トウ　あたる　あてる	当惑，当然，妥当当たる，当たり当てる，当て	⇔宛てる，充てる
投	トウ　なげる	投資，投下，暴投投げる，身投げ	投網（とあみ）
豆	トウ　　ズ　まめ	豆腐，納豆大豆豆，豆粒，煮豆	小豆（あずき）
東	トウ　ひがし	東西，東国，以東東，東側	　
到	トウ	到着，到底，周到	　
逃	トウ　にげる　にがす　のがす　のがれる	逃走，逃亡，逃避逃げる，夜逃げ逃がす逃す，見逃す逃れる，一時逃れ	　
倒	トウ　たおれる　たおす	倒産，圧倒，傾倒倒れる，共倒れ倒す	　
凍	トウ　こおる　こごえる	凍結，凍死，冷凍凍る，凍り付く凍える，凍え死に	　
唐	トウ　から	唐本，唐突唐織，唐草模様	　
島	トウ　しま	島民，半島，列島島，島国，離れ島	　
桃	トウ　もも	桃源郷，白桃，桜桃桃，桃色	　
討	トウ　うつ	討伐，討論，検討討つ，敵討ち	⇔打つ，撃つ
透	トウ　すく　すかす　すける	透写，透明，浸透透く透かす，透かし透ける	　
党（黨）	トウ	党派，政党，徒党	　
悼	トウ　いたむ	悼辞，哀悼，追悼悼む	⇔痛む，傷む
盗（盜）	トウ　ぬすむ	盗難，盗用，強盗盗む，盗み	　
陶	トウ	陶器，陶酔，薫陶	　
塔	トウ	五重の塔，石塔	　
搭	トウ	搭載，搭乗，搭乗券	　
棟	トウ　むね　　むな	上棟，病棟棟，別棟棟木	　
湯	トウ　ゆ	湯治，熱湯，微温湯湯，湯水，煮え湯	　
痘	トウ	種痘，水痘，天然痘	　
登	トウ　ト　のぼる	登壇，登校，登記登山，登城登る，山登り	⇔上る，昇る
答	トウ　こたえる　こたえ	答弁，応答，問答答える答え	⇔応える
等	トウ　ひとしい	等分，等級，平等等しい	　
筒	トウ　つつ	封筒，水筒，円筒形筒，筒抜け	　
統	トウ　すべる	統一，統計，伝統統べる	　
稲（稻）	トウ　いね　　いな	水稲，陸稲稲，稲刈り稲作，稲穂	　
踏	トウ　ふむ　ふまえる	踏破，踏襲，高踏的踏む，足踏み踏まえる	　
糖	トウ	糖分，砂糖，製糖	　
頭	トウ　ズ　　ト　あたま　かしら	頭部，年頭，船頭頭脳，頭上，頭痛音頭頭，頭金，頭打ち頭，頭文字，旗頭	　
謄	トウ	謄写，謄本	　
藤	トウ　ふじ	葛藤藤，藤色	　
闘（鬭）	トウ　たたかう	闘争，闘志，戦闘闘う，闘い	⇔戦う
騰	トウ	騰貴，暴騰，沸騰	　
同	ドウ　おなじ	同情，異同，混同同じ，同じだ，同い年	　
洞	ドウ　ほら	洞穴，洞察，空洞洞穴	　
胴	ドウ	胴体，双胴船	　
動	ドウ　うごく　うごかす	動物，活動，騒動動く，動き動かす	　
堂	ドウ　	堂々と，殿堂，母堂	　
童	ドウ　わらべ	童話，童心，児童童，童歌	　
道	ドウ　　トウ　みち	道路，道徳，報道神道道，近道	　
働	ドウ　はたらく	労働，実働働く，働き	　
銅	ドウ　	銅器，銅像，青銅	　
導	ドウ　みちびく	導入，指導，半導体導く，導き	　
瞳	ドウ　ひとみ	瞳孔瞳	　
峠	とうげ	峠，峠道	　
匿	トク	匿名，隠匿	　
特	トク	特殊，特産，独特	　
得	トク　える　うる	得意，会得，損得得る得るところ，書き得る	⇔獲る
督	トク	督促，督励，監督	　
徳（德）	トク	徳義，徳用，道徳	　
篤	トク	篤農，危篤，懇篤	　
毒	ドク	毒薬，毒舌，中毒	　
独（獨）	ドク　ひとり	独立，独断，単独独り，独り者	　
読（讀）	ドク　トク　　トウ　よむ	読書，音読，購読読本読点，句読点読む，読み	読経（どきょう）⇔詠む
栃	　とち		栃木県
凸	トツ	凸版，凸レンズ，凹凸	凸凹（でこぼこ）
突（突）	トツ　つく	突然，突端，衝突突く，一突き	　
届（屆）	とどける　とどく	届ける，届け届く，行き届く	　
屯	トン	駐屯，駐屯地	　
豚	トン　ぶた	養豚豚，子豚	　
頓	トン	頓着，整頓	　
貪	ドン　むさぼる	貪欲貪る	　
鈍	ドン　にぶい　にぶる	鈍感，鈍角，愚鈍鈍い，鈍さ鈍る	　
曇	ドン　くもる	曇天曇る，曇り	　
丼	どんぶり　　どん	丼，丼飯牛丼，天丼	　
那	ナ	刹那，旦那	　
奈	ナ	奈落	　
内	ナイ　　ダイ　うち	内外，内容，家内内裏，参内内，内側，内気	　
梨	なし	梨	　
謎［謎］	なぞ	謎	［謎］＝許容字体，＊［（付）第２の１参照］
鍋	なべ	鍋，鍋料理	　
南	ナン　　ナ　みなみ	南北，南端，指南南無南，南向き	　
軟	ナン　やわらか　やわらかい	軟化，軟弱，硬軟軟らかだ軟らかい	⇔柔らか⇔柔らかい
難（難）	ナン　かたい　むずかしい	難易，困難，非難許し難い，有り難い難しい，難しさ	「むつかしい」とも。
二	ニ　ふた　ふたつ	二番目，二分，十二月二重まぶた二つ	十重二十重（とえはたえ）二十・二十歳（はたち）二十日（はつか）二人（ふたり）二日（ふつか）⇔双
尼	ニ　あま	尼僧，修道尼尼，尼寺	　
弐（貳）	ニ	弐万円	　
匂	におう	匂う，匂い	⇔臭う
肉	ニク	肉類，肉薄，筋肉	　
虹	にじ	虹	　
日	ニチ　ジツ　ひ　か	日時，日光，毎日連日，平日，休日日，日帰り，月曜日三日，十日	明日（あす）昨日（きのう）今日（きょう）一日（ついたち）二十日（はつか）日和（ひより）二日（ふつか）
入	ニュウ　いる　いれる　はいる	入学，侵入，収入寝入る，大入り，気に入る入れる，入れ物入る	⇔要る
乳	ニュウ　ちち　ち	乳児，乳液，牛乳乳乳首，乳飲み子	乳母（うば）
尿	ニョウ	尿意，尿素，夜尿症	　
任	ニン　まかせる　まかす	任意，任務，責任任せる，人任せ任す	　
妊	ニン	妊娠，懐妊，不妊	　
忍	ニン　しのぶ　しのばせる	忍者，忍耐，残忍忍ぶ，忍び足，忍びやかだ忍ばせる	　
認	ニン　みとめる	認識，承認，否認認める	　
寧	ネイ	安寧，丁寧	　
熱	ネツ　あつい	熱病，熱湯，情熱熱い，熱さ	⇔暑い
年	ネン　とし	年代，少年，豊年年，年子，年寄り	今年（ことし）
念	ネン	念願，信念，断念	　
捻	ネン	捻挫，捻出	　
粘	ネン　ねばる	粘土，粘液，粘着粘る，粘り，粘り強い	　
燃	ネン　もえる　もやす　もす	燃焼，燃料，可燃性燃える，燃え尽きる燃やす燃す	　
悩（惱）	ノウ　なやむ　なやます	悩殺，苦悩，煩悩悩む，悩み，悩ましい悩ます	　
納	ノウ　　ナッ　　ナ　　ナン　　トウ　おさめる　おさまる	納入，納涼，収納納得，納豆納屋納戸出納納める，御用納め納まる，納まり	⇔収める⇔収まる
能	ノウ	能力，芸能，効能	　
脳（腦）	ノウ	脳髄，首脳，頭脳	　
農	ノウ	農業，農具，酪農	　
濃	ノウ　こい	濃厚，濃紺，濃淡濃い，濃さ	　
把	ハ	把握，把持，一把（ワ），三把（バ），十把（パ）	「把（ハ）」は，前に来る音によって「ワ」，「バ」，「パ」になる。
波	ハ　なみ	波浪，波及，電波波，波立つ，荒波	波止場（はとば）
派	ハ	派遣，派生，流派	　
破	ハ　やぶる　やぶれる	破壊，破産，撃破，破棄破る，型破り破れる，破れ	⇔敗れる
覇（霸）	ハ	覇権，覇者，制覇	　
馬	バ　うま　　ま	馬車，競馬，乗馬馬，馬小屋馬子，絵馬	伝馬船（てんません）
婆	バ	老婆，産婆役	　
罵	バ　ののしる	罵声，罵倒罵る	　
拝（拜）	ハイ　おがむ	拝見，拝礼，崇拝拝む，拝み倒す	　
杯	ハイ　さかずき	祝杯，銀杯，一杯杯	　
背	ハイ　せ　せい　そむく　そむける	背後，背景，腹背背，背丈，背中背，上背背く背ける	　
肺	ハイ	肺臓，肺炎，肺活量	　
俳	ハイ	俳優，俳句，俳味	　
配	ハイ　くばる	配分，交配，心配配る	　
排	ハイ	排斥，排気，排除	　
敗	ハイ　やぶれる	敗北，腐敗，失敗敗れる	⇔破れる
廃（廢）	ハイ　すたれる　すたる	廃止，廃物，荒廃廃れる廃る，はやり廃り	　
輩	ハイ	輩出，同輩，先輩	　
売（賣）	バイ　うる　うれる	売買，売品，商売売る，売り出す売れる，売れ行き	　
倍	バイ	倍率，倍加，二倍	　
梅（梅）	バイ　うめ	梅園，梅雨，紅梅梅，梅見，梅酒	梅雨（つゆ）
培	バイ　つちかう	培養，栽培培う	　
陪	バイ	陪席，陪食，陪審	　
媒	バイ	媒介，媒体，触媒	　
買	バイ　かう	買収，売買，購買買う，買い物	　
賠	バイ	賠償	　
白	ハク　ビャク　しろ　　しら　しろい	白髪，紅白，明白黒白白，白黒，真っ白白壁，白む，白ける白い	白髪（しらが）
伯	ハク	伯仲，画伯	伯父（おじ）伯母（おば）
拍	ハク　　ヒョウ	拍手，拍車，一拍拍子	　
泊	ハク　とまる　とめる	宿泊，停泊，外泊泊まる，泊まり泊める	⇔止まる，留まる⇔止める，留める
迫	ハク　せまる	迫害，脅迫，切迫迫る	　
剝	ハク　はがす　はぐ　はがれる　はげる	剝製，剝奪剝がす剝ぐ剝がれる剝げる	＊［（付）第２の３参照］
舶	ハク	舶来，船舶	　
博	ハク　　バク	博識，博覧，博士号博労，博徒	博士（はかせ）
薄	ハク　うすい　うすめる　うすまる　うすらぐ　うすれる	薄情，薄謝，軽薄薄い，薄着，品薄薄める薄まる薄らぐ薄れる	　
麦（麥）	バク　むぎ	麦芽，麦秋，精麦麦，麦粉，小麦	　
漠	バク	漠然，広漠，砂漠	　
縛	バク　しばる	束縛，捕縛縛る，金縛り	　
爆	バク	爆発，爆弾，原爆	　
箱	はこ	箱，箱庭，小箱	　
箸	はし	箸	＊［（付）第２の３【賭】参照］
畑	はた　はたけ	畑，畑作畑，畑違い，麦畑	　
肌	はだ	肌，肌色，地肌	　
八	ハチ　や　やつ　やっつ　　よう	八月，八方八重桜八つ当たり八つ八日	八百屋（やおや）八百長（やおちょう）
鉢	ハチ　　ハツ	鉢，植木鉢衣鉢	　
発（發）	ハツ　ホツ	発明，発射，突発発作，発端，発起	　
髪（髮）	ハツ　かみ	頭髪，白髪，整髪髪，髪結い，日本髪	白髪（しらが）
伐	バツ	伐採，征伐，殺伐	　
抜（拔）	バツ　ぬく　ぬける　ぬかす　ぬかる	抜群，選抜抜く，くぎ抜き抜ける，気抜け抜かす抜かる，抜かり	　
罰	バツ　バチ	罰金，処罰，天罰罰当たり	　
閥	バツ	門閥，財閥，派閥	　
